"wellN","PN1","PN2","PN3","PN4","PN5","PN6","PN7","PN8","PN9","PN10","PN11","PN12","PN13","PN14","PN15","PN16","PN17","PN18","PN19","PN20","PN21","PN22","PN23","PN24","PN25","PN26","PN27","PN28","PN29","PN30","PN31","PN32","PN33","PN34","PN35","PN36","PN37","PN38","PN39","PN40","PN41","PN42","PN43","PN44","PN45","PN46","PN47","PN48","PN49","PN50","PN51","PN52","PN53","PN54","PN55","PN56","PN57","PN58","PN59","PN60","PN61","PN62","PN63","PN64","PN65","PN66","PN67","PN68","PN69","PN70","PN71","PN72","PN73","PN74","PN75","PN76","PN77","PN78","PN79","PN80","PN81","PN82","PN83","PN84","PN85","PN86"
74,NA,NA,NA,NA,132,NA,243,NA,260,NA,NA,434,435,NA,495,NA,533,NA,NA,NA,561,NA,NA,NA,NA,NA,NA,NA,739,772,NA,NA,1029,NA,1068,1098,NA,NA,NA,1224,1230,1261,NA,NA,NA,1419,1454,NA,NA,1630,1644,1721,1741,NA,1761,1776,NA,1850,NA,NA,NA,1939,NA,NA,NA,NA,2175,NA,2224,2256,2287,NA,2307,2316,NA,2365,NA,2415,2454,2459,2466,2469,2475,2476,2583,2584
75,NA,NA,76,118,NA,233,NA,248,NA,265,426,NA,466,483,484,NA,533,NA,547,548,567,NA,NA,632,633,657,NA,722,NA,974,1017,NA,NA,1066,1097,NA,1126,1127,1216,1217,1260,NA,NA,1313,1366,1430,1542,1556,1600,NA,NA,NA,NA,1742,1767,1786,1798,1846,1867,NA,1938,1978,2014,2102,2155,2156,NA,2223,NA,NA,2288,2289,NA,NA,2364,NA,2413,2414,2449,NA,NA,2467,NA,2559,NA,NA
76,NA,30,37,91,232,233,247,259,NA,294,425,NA,445,483,494,514,533,536,547,548,567,581,589,632,633,657,721,731,756,762,1017,1018,1065,1067,1097,1099,1125,1127,1186,1218,1260,1262,1296,1297,1366,1430,1542,1543,1622,1643,1677,NA,1741,1760,1767,1786,1795,1824,1870,1883,1938,1977,2014,2015,2155,2159,NA,2211,2254,2267,2288,2289,2313,2339,2340,2365,2413,2415,2454,NA,NA,2467,NA,2579,NA,NA
77,NA,NA,76,102,225,233,247,248,NA,268,426,434,466,483,484,NA,533,NA,547,548,567,581,591,632,633,657,NA,722,756,973,1017,1018,1065,1066,1097,1099,1126,1127,1215,1218,1260,1262,NA,1309,1366,1430,1542,1543,1622,NA,1676,NA,1741,1752,1767,1786,1797,1846,1867,1883,1938,1978,2014,2019,2154,2156,NA,2223,2254,2267,2288,2289,2313,NA,2341,2365,2413,2414,2450,NA,NA,2467,2475,2559,NA,NA
78,4,29,31,NA,232,NA,247,NA,NA,NA,NA,NA,444,NA,NA,498,NA,536,NA,NA,561,574,583,632,NA,NA,721,NA,756,757,NA,1018,1065,NA,NA,1099,NA,NA,NA,NA,1225,1262,1295,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,NA,1761,1768,NA,1799,NA,1883,NA,1975,NA,NA,NA,NA,NA,2179,2255,2267,NA,NA,NA,2339,2340,2376,2413,NA,NA,NA,NA,NA,NA,2579,NA,NA
79,NA,NA,31,NA,232,NA,247,259,264,NA,NA,NA,444,NA,NA,NA,533,536,NA,NA,561,581,583,632,NA,NA,721,731,756,757,NA,1018,1065,1067,1089,1099,NA,NA,NA,NA,1225,1262,1296,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,1760,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2165,2175,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,2462,2466,NA,NA,2579,2583,2584
80,NA,30,76,77,NA,242,NA,259,NA,292,421,NA,NA,467,NA,514,NA,534,547,560,NA,581,591,626,656,713,721,735,NA,975,976,1026,NA,1067,NA,NA,1100,1129,1153,NA,NA,NA,1296,1363,1415,NA,NA,1557,1563,NA,NA,NA,NA,1742,NA,NA,1787,NA,1882,1933,1935,NA,1979,2143,2155,2168,NA,2223,NA,NA,NA,2301,NA,NA,2364,NA,2406,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,76,120,NA,233,NA,248,NA,265,426,NA,466,468,484,NA,NA,NA,547,551,NA,NA,NA,NA,633,702,NA,722,NA,974,1017,NA,NA,1066,NA,NA,1126,1137,1216,1217,1260,NA,NA,1365,1389,NA,NA,1557,1558,NA,NA,NA,NA,1742,NA,NA,1798,NA,1860,NA,1938,NA,2014,2139,2155,2156,NA,2223,NA,NA,NA,2289,NA,NA,NA,NA,NA,NA,2427,NA,NA,2467,NA,NA,NA,NA
82,NA,NA,31,NA,232,NA,247,259,264,294,NA,NA,444,NA,495,507,533,536,NA,NA,567,581,587,632,NA,657,721,731,756,757,NA,1018,1065,1067,1092,1099,NA,NA,1142,NA,1225,1262,1296,1297,NA,1419,1441,1543,1622,1643,1679,1734,NA,1760,1761,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2165,2175,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,NA,2466,NA,NA,2579,NA,NA
83,NA,NA,31,NA,232,NA,247,259,264,294,NA,434,444,NA,495,NA,533,536,NA,NA,567,581,588,632,NA,657,721,730,756,757,NA,1018,1065,1067,1092,1099,NA,NA,1186,1222,1225,1262,1296,1297,NA,1419,1485,1543,1622,1643,1679,1734,1741,1760,1761,1769,NA,1799,NA,1883,NA,1975,NA,2015,NA,2158,2175,2208,2255,2267,2288,NA,2313,2339,2340,2376,2413,2415,2454,2462,2466,2469,2475,2570,2583,2584
84,NA,NA,37,NA,225,NA,247,248,263,294,NA,434,435,NA,495,NA,533,NA,NA,NA,562,NA,NA,NA,NA,657,NA,724,740,785,NA,NA,1065,1067,1097,1099,NA,NA,1209,1223,1241,1262,NA,1297,NA,1426,1502,1543,1622,1643,1657,1734,1741,1760,1761,1786,NA,1850,NA,NA,NA,1970,NA,2015,NA,2156,2174,2221,2225,2256,2288,NA,2313,2339,NA,2365,NA,2415,2454,2462,2466,2469,2475,2478,2583,2584
85,9,30,55,77,NA,242,NA,259,NA,293,295,NA,NA,481,NA,514,NA,534,NA,560,NA,581,591,593,656,669,721,738,NA,975,985,1028,NA,1067,NA,NA,1100,1127,1142,NA,1260,NA,1296,1363,1366,1430,1542,1544,1573,NA,NA,NA,NA,1757,1767,NA,1787,1818,NA,1933,1934,NA,1979,2057,NA,2168,NA,2176,NA,NA,NA,2301,NA,NA,2364,NA,2394,NA,NA,NA,NA,NA,NA,2579,NA,NA
86,NA,NA,31,NA,232,NA,247,259,264,294,NA,NA,444,NA,NA,NA,533,536,NA,NA,561,581,583,632,NA,NA,721,731,756,757,NA,1018,1065,1067,1089,1099,NA,NA,NA,NA,1225,1262,1296,1297,NA,1419,1440,NA,NA,1643,1679,1734,NA,1760,1761,1768,NA,1799,NA,1883,NA,1975,NA,2015,NA,2159,2175,2192,2255,2267,2288,NA,NA,2339,2340,2376,2413,2415,2454,2462,2466,NA,NA,2579,2583,2584
87,NA,NA,31,89,232,NA,247,259,NA,294,NA,434,444,NA,494,NA,533,536,NA,548,567,581,589,632,NA,657,721,730,756,757,NA,1018,1065,1067,1097,1099,1125,NA,1186,1222,1225,1262,1296,1297,NA,1420,1541,1543,1622,1643,1679,1734,1741,1760,1765,1785,NA,1800,NA,1883,NA,1975,2014,2015,NA,2158,2175,2208,2255,2267,2288,NA,2313,2339,2340,2373,2413,2415,2454,NA,2466,2468,2475,2579,NA,NA
88,4,29,31,NA,NA,NA,NA,259,NA,NA,295,NA,NA,483,NA,498,NA,536,NA,NA,NA,568,582,602,NA,NA,716,738,NA,757,987,1028,NA,NA,NA,1099,1101,NA,1142,NA,1225,1262,1285,1342,NA,1421,1542,NA,NA,NA,NA,NA,NA,NA,1767,NA,NA,1799,NA,1884,1938,NA,1979,2015,NA,2168,NA,2176,NA,2267,NA,NA,NA,NA,2340,NA,2379,NA,NA,NA,NA,NA,NA,2579,NA,NA
